,0
114,3.968698e-10
115,-3.6224934e-10
116,2.0824427e-10
117,1.1767294e-10
118,-6.6556377e-10
119,1.4719699e-09
120,-2.5461204e-09
121,3.8547596e-09
122,-5.3077054e-09
123,6.746894e-09
124,-7.94202e-09
125,8.595861e-09
126,-8.36181e-09
127,6.8750508e-09
128,-3.797198e-09
129,-1.1278026e-09
130,8.010866e-09
131,-1.6754448e-08
132,2.6996744e-08
133,-3.8072187e-08
134,4.8996885e-08
135,-5.8486183e-08
136,6.50089e-08
137,-6.6879174e-08
138,6.2382526e-08
139,-4.9927955e-08
140,2.8213973e-08
141,3.607147e-09
142,-4.578431e-08
143,9.7859086e-08
144,-1.5860904e-07
145,2.2605417e-07
146,-2.9753178e-07
147,3.6983855e-07
148,-4.3943098e-07
149,5.0266925e-07
150,-5.560835e-07
151,5.9663864e-07
152,-6.2197347e-07
153,-6.998805e-06
154,-6.2197347e-07
155,5.9663864e-07
156,-5.560835e-07
157,5.0266925e-07
158,-4.3943098e-07
159,3.6983855e-07
160,-2.9753178e-07
161,2.2605417e-07
162,-1.5860904e-07
163,9.7858525e-08
164,-4.5785193e-08
165,3.6133263e-09
166,2.8195352e-08
167,-4.988577e-08
168,6.230183e-08
169,-6.67428e-08
170,6.480108e-08
171,-5.8198662e-08
172,4.863749e-08
173,-3.7675317e-08
174,2.6634495e-08
175,-1.6546204e-08
176,8.128539e-09
177,-1.7933665e-09
178,-2.3252282e-09
179,4.32893e-09
180,-4.5070503e-09
181,3.2881555e-09
182,-1.1951264e-09
183,-1.1951262e-09
184,3.288156e-09
185,-4.50705e-09
186,4.32893e-09
187,-2.3252285e-09
188,-1.7933665e-09
189,8.128539e-09
190,-1.6546204e-08
191,2.6634495e-08
192,-3.7675317e-08
193,4.863749e-08
194,-5.8198662e-08
195,6.480108e-08
196,-6.67428e-08
197,6.230184e-08
198,-4.988577e-08
199,2.8195352e-08
200,3.6133263e-09
201,-4.5785193e-08
202,9.785853e-08
203,-1.5860904e-07
204,2.2605417e-07
205,-2.9753178e-07
206,3.6983855e-07
207,-4.3943098e-07
208,5.0266925e-07
209,-5.560835e-07
210,5.9663864e-07
211,-6.2197347e-07
212,-6.998805e-06
213,-6.2197347e-07
214,5.9663864e-07
215,-5.560835e-07
216,5.0266925e-07
217,-4.3943098e-07
218,3.6983855e-07
219,-2.9753178e-07
220,2.2605417e-07
221,-1.5860904e-07
222,9.7859086e-08
223,-4.578431e-08
224,3.607147e-09
225,2.8213973e-08
226,-4.9927955e-08
227,6.2382526e-08
228,-6.6879174e-08
229,6.50089e-08
230,-5.8486183e-08
231,4.8996885e-08
232,-3.8072187e-08
233,2.6996744e-08
234,-1.6754448e-08
235,8.010866e-09
236,-1.1278026e-09
237,-3.797198e-09
238,6.8750508e-09
239,-8.36181e-09
240,8.595861e-09
241,-7.94202e-09
242,6.746894e-09
243,-5.3077054e-09
244,3.8547596e-09
245,-2.5461204e-09
246,1.4714117e-09
247,-6.6644423e-10
248,1.2385216e-10
249,1.8962212e-10
250,-3.2006484e-10
251,3.1617686e-10
252,-2.2105913e-10
253,7.400312e-11
254,9.179889e-11
255,-2.4403946e-10
256,3.4693404e-10
257,-3.5723338e-10
258,2.2248613e-10
259,1.1702925e-10
260,-7.216798e-10
261,1.6407599e-09
262,-2.8965088e-09
263,4.462399e-09
264,-6.2467667e-09
265,8.071723e-09
266,-9.663145e-09
267,1.0651419e-08
268,-1.058761e-08
269,8.978147e-09
270,-5.339231e-09
271,-7.304373e-10
272,9.463089e-09
273,-2.0829185e-08
274,3.4449236e-08
275,-4.952289e-08
276,6.478885e-08
277,-7.8528366e-08
278,8.862224e-08
279,-9.266668e-08
280,8.814739e-08
281,-7.26638e-08
282,4.4188475e-08
283,-1.3379561e-09
284,-5.636338e-08
285,1.2826841e-07
286,-2.124562e-07
287,3.0567443e-07
288,-4.0338787e-07
289,4.9993633e-07
290,-5.887914e-07
291,6.628846e-07
292,-7.149605e-07
293,7.378846e-07
294,-7.2479247e-07
295,-6.9605107e-06
296,-5.624465e-07
297,3.9403668e-07
298,-1.4037644e-07
299,-2.6139477e-07
300,1.0520343e-06
301,-4.4448466e-06
302,-5.110277e-06
303,1.7168687e-06
304,-9.2452206e-07
305,5.189631e-07
306,-2.5811588e-07
307,7.7601236e-08
308,4.7405123e-08
309,-1.2974127e-07
310,1.7819137e-07
311,-2.0016068e-07
312,2.025436e-07
313,-1.9186531e-07
314,1.7411476e-07
315,-1.5446447e-07
316,1.3698347e-07
317,-1.2440672e-07
318,1.17997594e-07
319,-1.1752009e-07
320,1.2132068e-07
321,-1.2650409e-07
322,1.291729e-07
323,-1.2468564e-07
